Frame count,Player 1 Keypoints,Player 2 Keypoints,Ball Position,Shot Type
28,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.26831     0.65143]
 [          0           0]
 [    0.27352     0.68999]
 [     0.3126     0.67188]
 [    0.27564     0.74241]
 [    0.34286     0.71601]
 [    0.27585     0.75982]
 [    0.35152     0.73742]
 [    0.29549     0.79705]
 [    0.31895     0.78774]
 [     0.2862     0.88535]
 [    0.30061     0.87627]
 [    0.29154     0.96918]
 [    0.29591     0.95335]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.46522     0.58256]
 [    0.47985     0.57863]
 [    0.45679     0.61515]
 [    0.49252     0.61043]
 [    0.44275     0.67038]
 [    0.50343     0.66908]
 [     0.4368     0.70414]
 [    0.50394     0.70293]
 [    0.46199     0.70187]
 [    0.49204     0.69982]
 [    0.44234     0.74439]
 [    0.50809     0.74134]
 [    0.42409     0.81673]
 [    0.51849     0.81375]]","[319, 129]",crosscourt drive
29,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.26837     0.65158]
 [          0           0]
 [    0.27351     0.68983]
 [    0.31256     0.67194]
 [    0.27546     0.74204]
 [    0.34268     0.71591]
 [    0.27566     0.75885]
 [    0.35137     0.73663]
 [    0.29541     0.79685]
 [    0.31878     0.78761]
 [    0.28617     0.88489]
 [    0.30017     0.87589]
 [    0.29179     0.96834]
 [    0.29542     0.95263]]","[[          0           0]
 [          0           0]
 [          0           0]
 [     0.4652     0.58231]
 [    0.47976     0.57835]
 [    0.45665     0.61486]
 [    0.49243      0.6101]
 [     0.4426     0.66997]
 [    0.50331     0.66867]
 [     0.4368     0.70347]
 [    0.50406      0.7024]
 [    0.46178     0.70124]
 [    0.49187     0.69917]
 [     0.4422     0.74407]
 [    0.50811     0.74094]
 [    0.42408     0.81641]
 [    0.51862     0.81329]]","[319, 129]",crosscourt drive
30,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.27775     0.64017]
 [    0.29701     0.63127]
 [    0.27584     0.68588]
 [      0.318     0.66136]
 [    0.27308     0.74369]
 [    0.34283     0.70376]
 [    0.27514     0.74982]
 [    0.35101     0.73868]
 [    0.30326     0.79117]
 [    0.32809       0.779]
 [    0.28925     0.87717]
 [    0.29769     0.85624]
 [    0.30826     0.95466]
 [    0.29999     0.93705]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.47403     0.58951]
 [    0.48875     0.59057]
 [    0.46106     0.62537]
 [     0.4987     0.62758]
 [     0.4492     0.67328]
 [     0.5114     0.67817]
 [    0.45211     0.70741]
 [    0.51126      0.7107]
 [    0.46394     0.71963]
 [    0.49463     0.72105]
 [    0.44192     0.73756]
 [    0.51185     0.73939]
 [    0.42385     0.80418]
 [    0.52351     0.80666]]","[319, 129]",crosscourt drive
31,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.28519     0.63143]
 [    0.30531     0.62186]
 [    0.28368     0.67607]
 [    0.32501      0.6593]
 [    0.27589     0.73244]
 [    0.35505     0.70888]
 [    0.26977     0.76029]
 [    0.36048     0.74366]
 [    0.30636     0.78409]
 [     0.3302     0.77615]
 [     0.3007     0.86394]
 [    0.31158     0.85612]
 [    0.31073     0.95312]
 [    0.30708     0.93958]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.48312     0.59281]
 [    0.49835     0.59317]
 [    0.47165     0.63106]
 [    0.50889     0.63145]
 [    0.45967     0.67611]
 [    0.51876     0.67787]
 [    0.45905     0.70401]
 [    0.51424     0.70659]
 [    0.47012     0.71894]
 [    0.50104      0.7188]
 [    0.44665     0.73572]
 [    0.51862     0.73623]
 [    0.42218     0.80531]
 [    0.52682     0.80553]]","[319, 129]",crosscourt drive
32,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.29405     0.62911]
 [    0.31369     0.62113]
 [    0.29014     0.67299]
 [    0.33232     0.65964]
 [    0.27795     0.73393]
 [    0.35977     0.71608]
 [    0.26978     0.77058]
 [    0.36327     0.75854]
 [    0.31222     0.78132]
 [     0.3373     0.77543]
 [    0.30385     0.86164]
 [    0.32034     0.85587]
 [    0.31209     0.95212]
 [    0.31718     0.94129]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.49539     0.58953]
 [    0.50969     0.59241]
 [    0.48113     0.62635]
 [    0.51657     0.63234]
 [    0.47046     0.66486]
 [    0.52472     0.67866]
 [     0.4768     0.69143]
 [    0.52499      0.7005]
 [    0.47645     0.71328]
 [    0.50637     0.71679]
 [    0.45503     0.73998]
 [    0.52849     0.74429]
 [    0.42332      0.7971]
 [     0.5304     0.80355]]","[319, 129]",crosscourt drive
33,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.30403     0.62748]
 [    0.32277     0.62149]
 [    0.29674      0.6739]
 [    0.34061     0.66456]
 [    0.28014     0.73656]
 [    0.36581     0.72283]
 [    0.26781     0.78265]
 [    0.36437     0.77519]
 [    0.31637     0.78341]
 [    0.34433     0.77969]
 [    0.30681     0.86059]
 [    0.33716      0.8567]
 [    0.31457     0.95017]
 [    0.34282     0.94224]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.50693     0.58447]
 [    0.52115     0.58787]
 [    0.49218       0.621]
 [    0.52588     0.62782]
 [    0.47832     0.66092]
 [    0.53437     0.67626]
 [    0.48544     0.69214]
 [    0.53963     0.70229]
 [     0.4867     0.71486]
 [     0.5143     0.71866]
 [    0.46236     0.74779]
 [    0.52935     0.75225]
 [    0.42965     0.79739]
 [    0.52505      0.8049]]","[319, 129]",crosscourt drive
34,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.31339     0.63584]
 [    0.33672     0.62898]
 [    0.30286     0.68204]
 [    0.35083     0.67188]
 [    0.29159     0.74265]
 [    0.36399     0.73542]
 [     0.2785      0.7746]
 [    0.36498     0.78554]
 [    0.31883      0.7884]
 [    0.35226     0.78413]
 [     0.3057     0.86818]
 [    0.34676     0.85824]
 [     0.3155     0.95366]
 [    0.35934     0.93694]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.52133     0.58255]
 [    0.53545     0.58985]
 [    0.50317     0.61501]
 [    0.53899     0.62878]
 [     0.4858     0.64646]
 [    0.54413     0.67269]
 [    0.49137     0.67458]
 [          0           0]
 [    0.49438     0.70296]
 [    0.52304     0.70946]
 [    0.46746     0.74434]
 [     0.5299     0.75206]
 [    0.44127     0.79862]
 [    0.52826     0.81032]]","[319, 129]",crosscourt drive
35,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.31349     0.63575]
 [    0.33671     0.62885]
 [    0.30296      0.6819]
 [    0.35079     0.67182]
 [    0.29174     0.74215]
 [    0.36414     0.73536]
 [     0.2786     0.77354]
 [    0.36516     0.78582]
 [    0.31883     0.78816]
 [    0.35218     0.78385]
 [    0.30551     0.86781]
 [    0.34655     0.85768]
 [    0.31527     0.95318]
 [    0.35936     0.93614]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.52158     0.58154]
 [    0.53552     0.58898]
 [    0.50321     0.61458]
 [    0.53908     0.62861]
 [     0.4856     0.64606]
 [    0.54406     0.67272]
 [    0.49124       0.675]
 [          0           0]
 [    0.49414     0.70304]
 [    0.52281     0.70969]
 [    0.46771     0.74405]
 [    0.53003     0.75197]
 [    0.44126     0.79854]
 [    0.52801     0.81049]]","[319, 129]",crosscourt drive
36,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.32294     0.63906]
 [    0.34572     0.63237]
 [    0.31113     0.68436]
 [    0.35805     0.67509]
 [    0.29975      0.7453]
 [    0.36935     0.73975]
 [    0.28607     0.77382]
 [    0.37152     0.78572]
 [    0.32323     0.78971]
 [    0.35726     0.78606]
 [    0.31012     0.86762]
 [    0.36052     0.85812]
 [    0.31733     0.95322]
 [    0.37707     0.93705]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.53218     0.57676]
 [    0.54501     0.58429]
 [    0.51624     0.60928]
 [    0.54534     0.62231]
 [    0.49884     0.63821]
 [    0.54681     0.66111]
 [     0.5018     0.64472]
 [    0.54864     0.66093]
 [    0.50394      0.6974]
 [    0.52641       0.703]
 [    0.48297     0.74712]
 [    0.52872     0.75374]
 [    0.46396     0.79919]
 [    0.52543     0.80976]]","[319, 129]",crosscourt drive
37,"[[          0           0]
 [          0           0]
 [          0           0]
 [     0.3333      0.6373]
 [    0.35508     0.63078]
 [    0.32217     0.68292]
 [    0.36229     0.67467]
 [    0.30891     0.73962]
 [    0.37472     0.73691]
 [    0.29262      0.7701]
 [    0.37817     0.78007]
 [    0.33484     0.78983]
 [    0.36555     0.78604]
 [     0.3141     0.86675]
 [    0.37217     0.85486]
 [    0.32052     0.94632]
 [    0.39885     0.92714]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.53973     0.57357]
 [    0.55377     0.58144]
 [     0.5225     0.60136]
 [    0.55186     0.61489]
 [    0.50421     0.63122]
 [    0.55327     0.65286]
 [    0.50848     0.64489]
 [    0.55747     0.66021]
 [    0.51068     0.69118]
 [    0.53204     0.69728]
 [    0.49776     0.74965]
 [    0.53292     0.75607]
 [    0.48317     0.80511]
 [    0.52714     0.81634]]","[319, 129]",crosscourt drive
38,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.34208     0.63442]
 [    0.36423     0.62906]
 [     0.3293     0.67847]
 [    0.37358     0.67233]
 [    0.31697      0.7375]
 [    0.38634     0.73701]
 [    0.30031     0.77173]
 [    0.39204     0.77115]
 [    0.33851     0.78811]
 [    0.37217     0.78481]
 [    0.31978     0.86301]
 [    0.38144      0.8557]
 [     0.3179     0.94657]
 [    0.40036     0.93264]]","[[          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [    0.56218     0.58214]
 [    0.53251     0.60487]
 [    0.55632     0.61601]
 [    0.51709     0.64031]
 [      0.557     0.65903]
 [    0.52703     0.66446]
 [    0.56553     0.67903]
 [    0.52085     0.69496]
 [    0.53611     0.70049]
 [    0.52077     0.75197]
 [    0.53393     0.75773]
 [    0.51295     0.80113]
 [    0.52193     0.81214]]","[319, 129]",crosscourt drive
39,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.35341     0.62736]
 [          0           0]
 [    0.34364     0.67296]
 [     0.3834     0.66692]
 [    0.33009      0.7304]
 [    0.39467     0.72872]
 [    0.31187     0.76769]
 [    0.39477     0.76022]
 [    0.35243     0.77701]
 [    0.38389     0.77437]
 [      0.333     0.86141]
 [    0.39417     0.85385]
 [    0.32577     0.95172]
 [    0.40952     0.93394]]","[[          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [    0.56818     0.57581]
 [    0.54649     0.59972]
 [    0.55706     0.60861]
 [    0.54747     0.64872]
 [    0.55911     0.66279]
 [          0           0]
 [    0.57058     0.69816]
 [    0.53104     0.69125]
 [    0.53841     0.69582]
 [    0.53415     0.75751]
 [    0.54219      0.7614]
 [    0.53025     0.81224]
 [    0.53706      0.8217]]","[319, 129]",crosscourt drive
40,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.36298     0.62106]
 [    0.38437     0.61521]
 [    0.35345     0.66352]
 [    0.39156     0.65823]
 [    0.34196     0.72303]
 [    0.40324     0.72259]
 [    0.32435     0.75825]
 [    0.40198     0.75224]
 [    0.36204     0.77219]
 [    0.39143     0.77017]
 [    0.34492     0.85108]
 [    0.39972     0.84817]
 [    0.33184     0.93542]
 [     0.4056     0.92625]]","[[          0           0]
 [          0           0]
 [    0.58353     0.58694]
 [          0           0]
 [    0.57785      0.5842]
 [    0.55372     0.60348]
 [    0.56796      0.6132]
 [          0           0]
 [    0.57092     0.66742]
 [          0           0]
 [    0.57803     0.70792]
 [    0.54044     0.69908]
 [    0.55023     0.70401]
 [    0.55534     0.75546]
 [    0.56266     0.75911]
 [    0.55553      0.8205]
 [    0.56047     0.82906]]","[319, 129]",crosscourt drive
41,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.36297      0.6212]
 [     0.3844     0.61535]
 [    0.35337      0.6636]
 [    0.39162     0.65827]
 [    0.34187     0.72313]
 [    0.40338     0.72243]
 [    0.32425     0.75835]
 [    0.40192     0.75165]
 [      0.362     0.77232]
 [    0.39149     0.77027]
 [    0.34485     0.85098]
 [    0.39981     0.84802]
 [    0.33172     0.93539]
 [    0.40566     0.92612]]","[[          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [    0.57781     0.58449]
 [    0.55323     0.60412]
 [    0.56838      0.6137]
 [          0           0]
 [    0.57131     0.66762]
 [          0           0]
 [    0.57803     0.70803]
 [    0.54085     0.69971]
 [     0.5512     0.70457]
 [    0.55525      0.7562]
 [     0.5628     0.75977]
 [    0.55558     0.82043]
 [    0.56058     0.82882]]","[319, 129]",crosscourt drive
42,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.37133     0.61369]
 [          0           0]
 [    0.36424     0.65568]
 [    0.40352     0.64934]
 [    0.35126     0.71672]
 [    0.41262     0.70899]
 [    0.33554     0.75453]
 [    0.40916     0.73433]
 [    0.36966     0.76493]
 [    0.39906     0.76164]
 [    0.35325     0.84372]
 [    0.40081     0.83999]
 [    0.34508     0.93046]
 [    0.40602     0.92014]]","[[    0.59382     0.59598]
 [          0           0]
 [     0.5927     0.58815]
 [          0           0]
 [    0.58673     0.58519]
 [     0.5692     0.61055]
 [    0.57238     0.61417]
 [    0.56983     0.66161]
 [    0.56692     0.66818]
 [          0           0]
 [    0.57628     0.70397]
 [    0.55191      0.7021]
 [    0.55472     0.70597]
 [     0.5718     0.74661]
 [    0.57577     0.75038]
 [    0.56483      0.8095]
 [    0.56869     0.81691]]","[319, 129]",crosscourt drive
43,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.38108     0.59825]
 [    0.39818     0.59599]
 [    0.37326     0.64395]
 [    0.41229     0.63869]
 [    0.35938     0.70323]
 [    0.42732     0.69444]
 [    0.34956     0.73842]
 [    0.42053      0.7347]
 [    0.37894      0.7536]
 [    0.40623     0.75046]
 [    0.36788     0.83418]
 [    0.40756     0.83149]
 [     0.3637     0.92031]
 [    0.41105     0.91504]]","[[    0.60142     0.61192]
 [          0           0]
 [     0.6007     0.60425]
 [          0           0]
 [    0.59432     0.59999]
 [    0.57213     0.62079]
 [    0.58065     0.62698]
 [          0           0]
 [    0.57366     0.68301]
 [          0           0]
 [     0.5809      0.7208]
 [    0.55614     0.71598]
 [    0.56271     0.72017]
 [    0.57507     0.76779]
 [    0.58508     0.77099]
 [    0.56887      0.8329]
 [    0.58059     0.84082]]","[319, 129]",crosscourt drive
44,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.38883     0.59005]
 [    0.40819     0.58744]
 [     0.3802      0.6379]
 [    0.42014     0.63177]
 [    0.36595      0.6999]
 [    0.43218     0.68984]
 [    0.35966     0.73402]
 [    0.42652     0.72834]
 [    0.38758     0.74794]
 [    0.41459     0.74434]
 [    0.38046     0.82502]
 [    0.41159     0.82198]
 [    0.37883       0.909]
 [     0.4112     0.90387]]","[[    0.61098      0.6189]
 [          0           0]
 [    0.60956     0.61165]
 [          0           0]
 [    0.60158     0.60974]
 [    0.58808     0.63588]
 [    0.58491     0.63958]
 [          0           0]
 [    0.57474     0.69858]
 [          0           0]
 [    0.58629     0.73081]
 [     0.5698     0.72874]
 [    0.56745     0.73271]
 [    0.59393     0.77431]
 [    0.58835     0.77802]
 [    0.58339     0.82954]
 [    0.57449     0.83766]]","[319, 129]",crosscourt drive
45,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.39576     0.58473]
 [    0.41606     0.58232]
 [    0.38884     0.63216]
 [    0.42878     0.62608]
 [     0.3745     0.69387]
 [    0.44194     0.68288]
 [    0.36199     0.73648]
 [    0.43291     0.73186]
 [    0.39573     0.74113]
 [    0.42108     0.73723]
 [    0.39478     0.82288]
 [    0.41291     0.81934]
 [    0.40029     0.90442]
 [    0.41191     0.89813]]","[[          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [    0.61241     0.62317]
 [    0.58665     0.63901]
 [    0.59864     0.65093]
 [    0.57563     0.69698]
 [    0.59093      0.7117]
 [    0.58333      0.7433]
 [    0.59742     0.75356]
 [    0.56879     0.73422]
 [    0.58154     0.74124]
 [     0.5787     0.78101]
 [    0.61932     0.78685]
 [    0.56509     0.84135]
 [    0.62946      0.8524]]","[319, 129]",crosscourt drive
46,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.40474     0.57849]
 [    0.42468     0.57757]
 [    0.39653     0.62695]
 [    0.43633     0.62352]
 [    0.38308      0.6882]
 [    0.45019       0.681]
 [    0.37047     0.73398]
 [    0.44059     0.73157]
 [    0.40166     0.73524]
 [    0.42737     0.73278]
 [    0.40308     0.81514]
 [    0.42179      0.8128]
 [    0.40908     0.89619]
 [    0.42282     0.89192]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.61348     0.62782]
 [    0.62728     0.62845]
 [    0.60476     0.65887]
 [    0.62176     0.66732]
 [    0.58011      0.6955]
 [     0.6076     0.71864]
 [    0.57395     0.72276]
 [     0.5969     0.74156]
 [    0.59113     0.75466]
 [    0.61042     0.75874]
 [    0.58052     0.78642]
 [    0.63893     0.79505]
 [     0.5612      0.8563]
 [    0.66416      0.8652]]","[319, 129]",crosscourt drive
47,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.40479     0.57815]
 [    0.42458     0.57732]
 [    0.39643     0.62693]
 [    0.43607     0.62362]
 [    0.38298     0.68817]
 [    0.45015     0.68116]
 [    0.37043     0.73365]
 [    0.44074     0.73132]
 [    0.40151     0.73533]
 [     0.4271     0.73293]
 [    0.40281     0.81517]
 [     0.4214     0.81285]
 [    0.40876     0.89596]
 [     0.4223     0.89183]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.61351     0.62803]
 [    0.62738      0.6285]
 [    0.60474      0.6591]
 [    0.62164     0.66757]
 [    0.58017     0.69591]
 [    0.60796     0.71954]
 [    0.57455     0.72318]
 [    0.59798     0.74315]
 [    0.59113     0.75486]
 [     0.6104     0.75896]
 [    0.58054     0.78692]
 [    0.63925     0.79546]
 [    0.56062     0.85642]
 [    0.66459     0.86508]]","[319, 129]",crosscourt drive
48,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.41343     0.57605]
 [    0.43249     0.57531]
 [    0.40298     0.62383]
 [    0.44308     0.62102]
 [    0.38883     0.68234]
 [    0.45805     0.67633]
 [    0.37816     0.72719]
 [    0.45034     0.72526]
 [    0.40943     0.72922]
 [    0.43552     0.72778]
 [    0.41271     0.80926]
 [    0.43292     0.80763]
 [    0.41625     0.88798]
 [    0.43179     0.88527]]","[[    0.62981     0.63486]
 [          0           0]
 [          0           0]
 [          0           0]
 [    0.63066     0.63223]
 [    0.62194     0.66709]
 [    0.61418      0.6661]
 [    0.61225     0.69204]
 [    0.60217     0.69205]
 [    0.61449     0.64587]
 [    0.60939     0.63585]
 [    0.60305     0.76384]
 [    0.60693     0.76521]
 [    0.58873     0.79457]
 [    0.64327     0.79914]
 [    0.56511     0.86027]
 [    0.67669     0.86671]]","[319, 129]",crosscourt drive
49,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.42292     0.57756]
 [    0.43981     0.57681]
 [    0.41243     0.62418]
 [    0.44881     0.62137]
 [    0.39738     0.68276]
 [    0.46243     0.67606]
 [    0.38543     0.72502]
 [    0.45407     0.72279]
 [    0.41864     0.72947]
 [    0.44229     0.72839]
 [    0.42291     0.81109]
 [    0.44214     0.80947]
 [    0.42582     0.89342]
 [    0.43968     0.89092]]","[[    0.62565     0.64388]
 [    0.62998     0.63711]
 [          0           0]
 [    0.63597     0.64351]
 [          0           0]
 [    0.62862     0.68098]
 [    0.63619     0.68472]
 [    0.60532     0.72505]
 [    0.62192      0.7382]
 [    0.60259     0.73351]
 [          0           0]
 [    0.60768     0.78337]
 [    0.62246     0.78441]
 [    0.58699     0.80841]
 [    0.65225     0.81438]
 [    0.56237     0.87659]
 [      0.682     0.88046]]","[547, 284]",wide_crosscourt drive
50,"[[          0           0]
 [          0           0]
 [          0           0]
 [     0.4316      0.5756]
 [    0.44853      0.5764]
 [    0.41832     0.62193]
 [    0.45652     0.62244]
 [     0.4041     0.68033]
 [    0.46978     0.67978]
 [    0.39806     0.72067]
 [    0.46509     0.72163]
 [    0.42587     0.73098]
 [    0.45229     0.73197]
 [    0.42648     0.80997]
 [     0.4593     0.81015]
 [    0.42579     0.88923]
 [    0.46236     0.89038]]","[[          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [    0.65776     0.65594]
 [    0.64547     0.68783]
 [     0.6401      0.6943]
 [    0.63536     0.73316]
 [    0.63379     0.75172]
 [    0.64833     0.77105]
 [    0.64849     0.79022]
 [    0.61712      0.7792]
 [    0.62419     0.78314]
 [    0.60526     0.83327]
 [     0.6681      0.8457]
 [    0.56607      0.8908]
 [    0.69728     0.91512]]","[559, 289]",wide_crosscourt drive
51,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.43773     0.57719]
 [    0.45734     0.57842]
 [      0.425      0.6221]
 [    0.46421     0.62273]
 [    0.41106     0.68023]
 [    0.47621     0.67654]
 [    0.40896     0.70439]
 [    0.47308     0.70029]
 [    0.43202     0.73064]
 [     0.4604     0.73107]
 [    0.42927     0.80623]
 [    0.47306     0.80538]
 [    0.43131     0.88089]
 [    0.48643     0.88067]]","[[          0           0]
 [          0           0]
 [          0           0]
 [     0.6594     0.67108]
 [          0           0]
 [    0.66077     0.68791]
 [    0.66197     0.71558]
 [    0.63401     0.67002]
 [    0.65399     0.76231]
 [    0.63319     0.64548]
 [    0.65901     0.78583]
 [    0.62989     0.78507]
 [    0.64011     0.79465]
 [    0.60502     0.84642]
 [    0.67274     0.86752]
 [    0.56789     0.90244]
 [     0.7038     0.93611]]","[569, 295]",wide_crosscourt drive
52,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.44956     0.57852]
 [    0.46471     0.58061]
 [    0.43585     0.62234]
 [    0.47128     0.62509]
 [    0.42274     0.67737]
 [    0.48372     0.67912]
 [    0.42014     0.71271]
 [    0.48135     0.71401]
 [    0.44169     0.72832]
 [    0.46883     0.73026]
 [     0.4347     0.80504]
 [    0.48747     0.80579]
 [     0.4318       0.878]
 [    0.50407     0.88014]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.66762     0.68033]
 [          0           0]
 [    0.67098      0.6994]
 [      0.668     0.71896]
 [    0.64303     0.66592]
 [    0.65357      0.7124]
 [    0.63769      0.6484]
 [    0.64006     0.69595]
 [    0.63993     0.79186]
 [    0.64738     0.79925]
 [    0.61058     0.85243]
 [    0.67723     0.87609]
 [    0.57301     0.91012]
 [    0.70903     0.94862]]","[567, 297]",crosscourt drive
53,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.44962     0.57841]
 [    0.46451     0.58055]
 [    0.43582     0.62223]
 [    0.47104     0.62508]
 [     0.4227     0.67729]
 [    0.48329     0.67926]
 [    0.42028     0.71222]
 [    0.48097     0.71367]
 [    0.44161     0.72836]
 [    0.46867     0.73038]
 [    0.43451     0.80567]
 [    0.48765      0.8065]
 [    0.43118     0.87917]
 [    0.50406     0.88148]]","[[          0           0]
 [          0           0]
 [          0           0]
 [     0.6679     0.67971]
 [          0           0]
 [    0.67135     0.69908]
 [    0.66782     0.71891]
 [    0.64334     0.66537]
 [    0.65306     0.71143]
 [    0.63821      0.6483]
 [    0.63964     0.69423]
 [    0.64032     0.79159]
 [    0.64741     0.79921]
 [    0.61105     0.85255]
 [    0.67724     0.87672]
 [     0.5732     0.90972]
 [    0.70892     0.94907]]","[567, 297]",tight_straight drive
54,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.45675      0.5828]
 [    0.47219     0.58399]
 [    0.44127     0.62598]
 [    0.48022     0.62782]
 [    0.42775     0.67668]
 [    0.49463     0.67803]
 [    0.42709     0.70163]
 [    0.49298     0.70333]
 [     0.4484     0.72832]
 [     0.4779     0.73023]
 [    0.43893     0.79871]
 [    0.49488     0.79941]
 [    0.43145     0.87294]
 [      0.506      0.8751]]","[[          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [    0.68813     0.71534]
 [    0.67073     0.72533]
 [    0.67895     0.74935]
 [    0.64041     0.74388]
 [    0.67109     0.82025]
 [    0.63746     0.72618]
 [    0.68075     0.86345]
 [    0.64478     0.80959]
 [    0.65969     0.81914]
 [     0.6265     0.86688]
 [    0.69923     0.88347]
 [    0.56954     0.90207]
 [    0.70346     0.93551]]","[564, 299]",tight_straight drive
